Status	Reason	SKU	ASIN	Product name	Condition	Status Change Date	Issue Description
Search Suppressed	Missing info	SP-1SU-08029-700129	B00NWRUGT8	MICHAEL Michael Kors Small Snake-Embossed Shoulder Flap Genuine Leather Bag (Black/gold)	11	Jul 13, 2023	'[color]' is required but not supplied.
Search Suppressed	Missing info	SP-1SY-0e545-579234	B01NA8O81Z	World's Softest Socks - MC Cozy Crew - Terrene Stripe - 12-24m	11	Jul 27, 2023	'[department]' is required but not supplied.
Search Suppressed	Missing info	SP-1SY-0e545-579234	B01NA8O81Z	World's Softest Socks - MC Cozy Crew - Terrene Stripe - 12-24m	11	Jul 27, 2023	'[color]' is required but not supplied.
Search Suppressed	Missing info	SP-1So-07de6-87961	B00N81395G	Halex 02112 1-1/4" EMT Compression Connector	11	Jul 28, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Potential duplicate	SP-1So-07de6-87961	B00N81395G	Halex 02112 1-1/4" EMT Compression Connector	11	Jul 28, 2023	This ASIN is a potential duplicate of ASIN B00G9IFCY6. Please review the ASINs and let us know whether both ASINs represent the same product or not.
Search Suppressed	Invalid information	SP-1T9-c9c8b-06874	B0BG65P168	R&M Richards Womens Navy Stretch Embellished Lace With Open Front Duster Sleeveless Scoop Neck Above The Knee Wear To Work Sheath Jacket 16	11	Jul 20, 2023	We believe the main image has non-pure white background which is not permitted for this product type. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	SP-1Tn-6b38c-575144	B015NBY5PG	Sport Armband Case for Samsung L300, M830, I200(Stellar), R820 , M950, i667, T769(Black) + Stylus	11	Jul 27, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Invalid information	SP-1Tn-6b38c-575144	B015NBY5PG	Sport Armband Case for Samsung L300, M830, I200(Stellar), R820 , M950, i667, T769(Black) + Stylus	11	Jul 27, 2023	We believe the main image has text, logo, graphic or watermark which is not permitted for this product type. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	SP-1Ub-dc54f-70248	B004I09IX8	Sandicast - Grehound Fawn M329	11	Jul 13, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-1V8-017b2-700256	B08HP88PGV	Clinton Rolled Edge, Plate 9-3/4"Dia. X 1"H, Porcelain, Super White	11	Jul 19, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Invalid information	SP-1WG-459cf-582268	B00M4ES8SG	Aurora Instruments (GAR1138ZEXKACCE) American Retro Rodder III Fuel Level Gauge	11	Jul 27, 2023	We believe the main image has text, logo, graphic or watermark which is not permitted for this product type. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	SP-1ZO-33eb4-25184	B097MYPPZB	Manhattan Comfort Viennese 2.0 Sideboard in Off White	11	Jul 28, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-1Zc-47f1f-71139	B08F9NT935	Trevco HBRO435B-YT-1 Easy Bake Oven & Bake It Easy-Short Sleeve 18-1 Youth T-Shirt, Pink - Small	11	Jul 27, 2023	'[department]' is required but not supplied.
Search Suppressed	Missing info	SP-1c7-0a398-702270	B07C3CCBVC	Athearn HO 57' Mechanical Reefer w Sound UP Armin #922012, ATHG63397	11	Jul 13, 2023	'[product_description]' is required but not supplied.
